word,normalized_word,phonetic_uk,phonetic_us,source,status,confidence,review_note,occurrence_count,sample_occurrences
cheerful,cheerful,/ˈtʃɪfəl/,/ˈtʃɪrfəl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,4,北师大版/八年级上/Lesson 2|沪教版/七年级下/Unit 1|沪教版/七年级下/Unit 8|译林版/八年级上/Unit 1
cheers,cheers,/ˈtʃɪz/,/ˈtʃɪrz/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/八年级下/Unit 6
cheer (sb) up(,cheersbup,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,译林版/七年级下/Unit 5
cheer somebody up(,cheersomebodyup,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,沪教版/八年级下/Unit 1|沪教版/八年级下/Unit 8
cheer up(,cheerup,/r'mamnd/,/r'mamnd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,北师大版/八年级上/Lesson 3|沪教版/九年级下/Unit 6|译林版/九年级上/Unit 2
cheese,cheese,/ˈtʃiːz/,/ˈtʃiːz/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/七年级下/Lesson 1|沪外教版/八年级上/Unit 6|冀教版/七年级上/Unit 5|教科版/七年级上/Unit 5|科普版/八年级下/Unit 8
cheeseburger,cheeseburger,/ˈtʃiːzbəɡə/,/ˈtʃiːzbərɡər/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,外研版/九年级下/Module 6
cheetah,cheetah,/ˈtʃiːtə/,/ˈtʃiːtə/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/八年级上/Unit 4
chef,chef,/ˈʃef/,/ˈʃef/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,外研版/七年级上/Unit 3
chemical,chemical,/ˈkeməkəl/,/ˈkeməkəl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,冀教版/九年级全一册/Unit 5|外研版/八年级下/Unit 5
chemistry,chemistry,/ˈkeməstri/,/ˈkeməstri/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,13,北师大版/七年级上/Unit 2|北师大版/九年级全一册/Unit 4|北师大版/九年级全一册/Unit 9|沪教版/八年级上/Unit 7|沪教版/八年级上/Unit 8
chess,chess,/ˈtʃes/,/ˈtʃes/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/七年级上/Lesson 1|冀教版/七年级上/Unit 3|教科版/七年级上/Unit 3|科普版/八年级下/Unit 9|科普版/九年级上/Unit 1
chessboard,chessboard,/ˈtʃesˌbɔːd/,/ˈtʃesˌbɔːrd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,沪教版/八年级上/Unit 2|沪教版/八年级上/Unit 8
chest,chest,/ˈtʃest/,/ˈtʃest/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/九年级上/Unit 2
Chiang Mai,chiangmai,/tjiaymar/,/tjiaymar/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/九年级全一册/Unit 2
Chiba,chiba,/ˈtʃiːbə/,/ˈtʃiːbə/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 6
Chicago,chicago,/ʃəˈkɑːˌɡəʊ/,/ʃəˈkɑːˌɡoʊ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Book Vocabulary
chick,chick,/ˈtʃɪk/,/ˈtʃɪk/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/九年级上/Unit 4
chief,chief,/ˈtʃiːf/,/ˈtʃiːf/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/八年级上/Unit 7
chief engineer,chiefengineer,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,沪教版/七年级下/Unit 7|沪教版/七年级下/Unit 8
childhood,childhood,/ˈtʃaɪldˌhʊd/,/ˈtʃaɪldˌhʊd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,北师大版/八年级上/Lesson 1|外研版/八年级下/Unit 2
chilli,chilli,/tju/,/tju/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 2
China,china,/ˈtʃaɪnə/,/ˈtʃaɪnə/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,北师大版/七年级上/Lesson 3|外研版/九年级上/Module 9
Chinatown,chinatown,/ˈtʃaɪnəˌtaʊn/,/ˈtʃaɪnəˌtaʊn/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,沪外教版/七年级上/Unit 8|冀教版/九年级全一册/Unit 8|科普版/八年级上/Unit 4
Chinese chess,chinesechess,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,人教版/七年级上/Unit 2|译林版/七年级上/Unit 1
chip,chip,/ˈtʃɪp/,/ˈtʃɪp/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/七年级下/Unit 2|沪外教版/七年级上/Unit 3|冀教版/七年级上/Unit 8|教科版/七年级上/Unit 8|科普版/八年级上/Unit 3
Chip Taylor,chiptaylor,/tjup 'terla/,/tjup 'terla/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,冀教版/九年级全一册/Unit 5
chlorophyll,chlorophyll,/ˈklɔːrəfɪl/,/ˈklɔːrəfɪl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 3
chocolate,chocolate,/ˈtʃɔːklət/,/ˈtʃɔːklət/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/七年级下/Lesson 1|沪外教版/八年级下/Unit 3|冀教版/七年级上/Unit 6|教科版/七年级上/Unit 6|科普版/八年级上/Unit 3
choice,choice,/ˈtʃɔɪs/,/ˈtʃɔɪs/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,11,北师大版/七年级下/Lesson 1|沪教版/八年级上/Unit 8|沪外教版/七年级上/Unit 3|冀教版/七年级下/Unit 7|教科版/七年级下/Unit 7
choose,choose,/ˈtʃuːz/,/ˈtʃuːz/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/七年级下/Lesson 1|沪外教版/八年级下/Unit 2|冀教版/七年级下/Unit 2|教科版/七年级下/Unit 2|科普版/八年级上/Unit 1
chop,chop,/ˈtʃɑːp/,/ˈtʃɑːp/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,冀教版/八年级上/Unit 5
chopstick,chopstick,/ˈtʃɑːpˌstɪk/,/ˈtʃɑːpˌstɪk/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,沪教版/八年级上/Unit 5|沪教版/八年级上/Unit 8|冀教版/八年级下/Unit 3|冀教版/九年级全一册/Unit 8|科普版/七年级下/Unit 9
chopsticks,chopsticks,/ˈtʃɑːpˌstɪks/,/ˈtʃɑːpˌstɪks/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,译林版/九年级下/Unit 1
Christian,christian,/ˈkrɪstʃən/,/ˈkrɪstʃən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,北师大版/七年级下/Lesson 3
Christmas,christmas,/ˈkrɪsməs/,/ˈkrɪsməs/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,9,北师大版/八年级下/Lesson 3|沪教版/八年级下/Unit 6|沪教版/八年级下/Unit 8|冀教版/七年级上/Unit 7|教科版/七年级上/Unit 7
cigarette,cigarette,/ˌsɪɡəˈet/,/ˌsɪɡərˈet/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,冀教版/九年级全一册/Unit 1
cinema,cinema,/ˈsɪnəmə/,/ˈsɪnəmə/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/九年级上/Unit 1
cinnamon,cinnamon,/ˈsɪnəmən/,/ˈsɪnəmən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/八年级上/Unit 5
circle,circle,/ˈsɜːkəl/,/ˈsɜːrkəl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,11,北师大版/八年级下/Lesson 1|北师大版/九年级全一册/Unit 4|北师大版/九年级全一册/Unit 9|沪教版/七年级上/Unit 5|沪教版/七年级上/Unit 8
circular,circular,/ˈsɜːkjələ/,/ˈsɜːrkjələr/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 2
cither,cither,/'arbar；'irdar/,/'arbar；'irdar/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,译林版/九年级下/Unit 1
cither.•or.,citheror,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,译林版/九年级上/Unit 1
citizen,citizen,/ˈsɪtəzən/,/ˈsɪtəzən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,5,沪外教版/九年级上/Unit 3|冀教版/八年级下/Unit 4|科普版/八年级下/Unit 9|外研版/八年级上/Unit 5|译林版/八年级下/Unit 1
Civil,civil,/ˈsɪvəl/,/ˈsɪvəl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/九年级下/Unit 5
civilization,civilization,/ˌsɪvəlɪˈzeɪʃən/,/ˌsɪvəlɪˈzeɪʃən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,4,沪外教版/九年级上/Unit 2|冀教版/八年级上/Unit 6|科普版/九年级下/Unit 5|人教版/八年级下/Unit 4
clap,clap,/ˈklæp/,/ˈklæp/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪教版/八年级下/Unit 8
clap Alap,clapalap,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪教版/八年级下/Unit 2
clarify,clarify,/ˈklerəˌfaɪ/,/ˈklerəˌfaɪ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/八年级下/Unit 9
Clark,clark,/ˈklɑːk/,/ˈklɑːrk/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/七年级上/Unit 7
classic,classic,/ˈklæsɪk/,/ˈklæsɪk/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,7,沪教版/八年级下/Unit 3|沪教版/八年级下/Unit 8|沪外教版/七年级下/Unit 6|冀教版/八年级下/Unit 1|科普版/八年级上/Unit 2
classical,classical,/ˈklæsɪkəl/,/ˈklæsɪkəl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,沪外教版/八年级下/Unit 5|科普版/八年级下/Unit 9
classmate,classmate,/ˈklæˌsmeɪt/,/ˈklæˌsmeɪt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,6,冀教版/七年级下/Unit 1|教科版/七年级下/Unit 1|科普版/七年级上/Unit 1|人教版/七年级上/Unit 1|外研版/七年级上/Book Vocabulary
classmnate,classmnate,"/""kla:smert/","/""kla:smert/",current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,北师大版/七年级上/Lesson 3
class teacher,classteacher,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/七年级上/Unit 1
clay,clay,/ˈkleɪ/,/ˈkleɪ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,6,沪外教版/九年级上/Unit 1|冀教版/七年级下/Unit 6|教科版/七年级下/Unit 6|科普版/八年级上/Unit 2|科普版/九年级下/Unit 5
cleaning,cleaning,/ˈkliːnɪŋ/,/ˈkliːnɪŋ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,北师大版/七年级上/Lesson 3
clean.• off,cleanoff,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/九年级全一册/Unit 9
clean up,cleanup,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,3,沪教版/七年级上/Unit 2|沪教版/七年级上/Unit 8|人教版/八年级上/Unit 2
clear,clear,/ˈklɪ/,/ˈklɪr/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,11,北师大版/八年级下/Lesson 1|沪教版/七年级上/Unit 3|沪教版/七年级上/Unit 8|冀教版/七年级上/Unit 7|教科版/七年级上/Unit 7
clearly,clearly,/ˈklɪli/,/ˈklɪrli/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,5,北师大版/八年级下/Lesson 3|沪外教版/七年级下/Unit 1|科普版/八年级上/Unit 3|人教版/八年级下/Unit 3|译林版/七年级下/Unit 7
clear the air,cleartheair,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/八年级下/Unit 3
clear your throat(,clearyourthroat,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,外研版/八年级上/Unit 5
clectronic hlek'tronik,clectronichlektronik,/adj.电子的 *image/,/adj.电子的 *image/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,北师大版/八年级下/Lesson 1
clerk,clerk,/ˈklɜːk/,/ˈklɜːrk/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,冀教版/七年级上/Unit 6|教科版/七年级上/Unit 6|人教版/九年级全一册/Unit 3
click,click,/ˈklɪk/,/ˈklɪk/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,7,北师大版/八年级上/Lesson 3|沪外教版/八年级下/Unit 7|沪外教版/九年级上/Unit 4|冀教版/八年级下/Unit 2|科普版/八年级下/Unit 9
cliff,cliff,/ˈklɪf/,/ˈklɪf/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/八年级下/Unit 4
climate,climate,/ˈklaɪmət/,/ˈklaɪmət/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,沪教版/七年级下/Unit 6|沪教版/七年级下/Unit 8|沪外教版/七年级上/Unit 7|科普版/七年级上/Unit 5|人教版/八年级上/Unit 4
climate change,climatechange,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,沪教版/七年级下/Unit 6|沪教版/七年级下/Unit 8
climax,climax,/ˈklaɪˌmæks/,/ˈklaɪˌmæks/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/八年级下/Unit 7
climb,climb,/ˈklaɪm/,/ˈklaɪm/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/七年级下/Lesson 1|沪外教版/七年级下/Unit 2|冀教版/七年级上/Unit 5|教科版/七年级上/Unit 5|科普版/七年级上/Unit 5
climber,climber,/ˈklaɪmə/,/ˈklaɪmər/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,人教版/八年级下/Unit 4|外研版/八年级下/Unit 3
clone,clone,/ˈkləʊn/,/ˈkloʊn/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级下/Unit 2
close,close,/ˈkləʊs/,/ˈkloʊs/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,译林版/八年级上/Unit 8
closely,closely,/ˈkləʊsli/,/ˈkloʊsli/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,北师大版/七年级下/Lesson 3|译林版/八年级下/Unit 3
closing,closing,/ˈkləʊzɪŋ/,/ˈkloʊzɪŋ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/八年级上/Unit 8
cloth,cloth,/ˈklɔːθ/,/ˈklɔːθ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,5,北师大版/八年级下/Lesson 1|冀教版/七年级下/Unit 6|教科版/七年级下/Unit 6|科普版/九年级上/Unit 2|外研版/九年级上/Module 9
clothing,clothing,/ˈkləʊðɪŋ/,/ˈkloʊðɪŋ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,冀教版/七年级下/Unit 5|教科版/七年级下/Unit 5|科普版/八年级下/Unit 9
cloud,cloud,/ˈklaʊd/,/ˈklaʊd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,5,北师大版/七年级上/Lesson 3|科普版/七年级下/Unit 8|人教版/七年级下/Unit 5|外研版/七年级下/Unit 5|译林版/七年级下/Unit 6
club,club,/ˈklʌb/,/ˈklʌb/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,11,北师大版/七年级上/Lesson 1|沪教版/七年级上/Unit 2|沪教版/七年级上/Unit 8|沪外教版/七年级上/Unit 1|冀教版/七年级上/Unit 3
clubs fair,clubsfair,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,沪教版/七年级上/Unit 7|沪教版/七年级上/Unit 8
clue,clue,/ˈkluː/,/ˈkluː/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,沪外教版/九年级上/Unit 5|科普版/八年级下/Unit 9
coach,coach,/ˈkəʊtʃ/,/ˈkoʊtʃ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,北师大版/七年级下/Lesson 3|沪教版/九年级下/Unit 4|沪教版/九年级下/Unit 6|沪外教版/七年级下/Unit 3|冀教版/八年级下/Unit 3
coal,coal,/ˈkəʊl/,/ˈkoʊl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,7,沪教版/九年级下/Unit 3|沪教版/九年级下/Unit 6|冀教版/八年级上/Unit 8|科普版/八年级下/Unit 9|科普版/九年级上/Unit 2
coast,coast,/ˈkəʊst/,/ˈkoʊst/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,10,北师大版/七年级下/Lesson 3|沪教版/七年级下/Unit 2|沪教版/七年级下/Unit 8|沪外教版/七年级上/Unit 7|冀教版/九年级全一册/Unit 6
coastal,coastal,/ˈkəʊstəl/,/ˈkoʊstəl/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,冀教版/八年级下/Unit 8|科普版/八年级下/Unit 9
coastline,coastline,/ˈkəʊstˌlaɪn/,/ˈkoʊstˌlaɪn/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/七年级下/Unit 8
coat,coat,/ˈkəʊt/,/ˈkoʊt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,沪教版/九年级上/Unit 7|沪教版/九年级上/Unit 8|人教版/九年级全一册/Unit 8
Coco,coco,/ˈkəʊˌkəʊ/,/ˈkoʊˌkoʊ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/七年级上/Unit 1
cocoa,cocoa,/ˈkəʊkəʊ/,/ˈkoʊkoʊ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/九年级下/Unit 5
code,code,/ˈkəʊd/,/ˈkoʊd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,冀教版/七年级上/Unit 6|教科版/七年级上/Unit 6
coffee,coffee,/ˈkɑːfi/,/ˈkɑːfi/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,5,北师大版/七年级下/Lesson 2|沪教版/九年级上/Unit 8|科普版/七年级下/Unit 7|人教版/七年级下/Unit 4|外研版/七年级上/Unit 5
coftee,coftee,/'kpfi/,/'kpfi/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪教版/九年级上/Unit 6
coin,coin,/ˈkɔɪn/,/ˈkɔɪn/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,7,沪教版/七年级上/Unit 8|冀教版/八年级下/Unit 7|科普版/八年级下/Unit 8|人教版/八年级下/Unit 1|人教版/九年级全一册/Unit 5
Coke,coke,/ˈkəʊk/,/ˈkoʊk/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/八年级上/Unit 3
cold,cold,/ˈkəʊld/,/ˈkoʊld/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,外研版/九年级下/Module 3
Colin,colin,/ˈkəʊlɪn/,/ˈkoʊlɪn/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/八年级下/Unit 7
collapse,collapse,/kəˈlæps/,/kəˈlæps/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 6
colleague,colleague,/ˈkɑːliɡ/,/ˈkɑːliɡ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,沪外教版/九年级上/Unit 4|科普版/九年级上/Unit 2
collect,collect,/kəˈlekt/,/kəˈlekt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/八年级下/Unit 2|沪教版/七年级上/Unit 8|沪外教版/八年级下/Unit 2|冀教版/八年级上/Unit 7|科普版/七年级下/Unit 8
collect Ake'lekt,collectakelekt,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪教版/七年级上/Unit 5
collection,collection,/kəˈlekʃən/,/kəˈlekʃən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,5,北师大版/七年级下/Lesson 2|沪教版/七年级上/Unit 8|冀教版/八年级下/Unit 7|科普版/八年级下/Unit 9|译林版/七年级下/Unit 8
college,college,/ˈkɑːlɪdʒ/,/ˈkɑːlɪdʒ/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,8,北师大版/八年级下/Lesson 1|沪外教版/八年级上/Unit 6|冀教版/八年级下/Unit 7|科普版/八年级下/Unit 7|科普版/九年级上/Unit 1
college entrance examination,collegeentranceexamination,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,沪教版/七年级下/Unit 7|沪教版/七年级下/Unit 8
Colman,colman,/ˈkəʊlmən/,/ˈkoʊlmən/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,北师大版/七年级下/Lesson 3
Colombia,colombia,/kəˈlʌmbiə/,/kəˈlʌmbiə/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,人教版/九年级全一册/Unit 9
colored,colored,/ˈkʌləd/,/ˈkʌlərd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/七年级下/Unit 7
coloured,coloured,/ˈkʌləd/,/ˈkʌlərd/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,北师大版/八年级下/Lesson 1
colourful,colourful,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,4,冀教版/八年级上/Unit 2|科普版/七年级上/Unit 3|人教版/七年级下/Unit 5|译林版/七年级上/Unit 7
column,column,/ˈkɑːləm/,/ˈkɑːləm/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,沪外教版/九年级上/Unit 5
comb,comb,/ˈkəʊm/,/ˈkoʊm/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,4,沪教版/九年级上/Unit 8|沪教版/九年级上/Unit 8|冀教版/八年级上/Unit 4|科普版/九年级下/Unit 6
combine,combine,/ˈkɑːmbaɪn/,/ˈkɑːmbaɪn/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,冀教版/八年级上/Unit 5
come across(,comeacross,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/七年级上/Unit 6
come along,comealong,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,4,沪教版/七年级上/Unit 8|沪教版/九年级上/Unit 7|沪教版/九年级上/Unit 8|人教版/八年级下/Unit 8
come and go,comeandgo,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,沪教版/七年级上/Unit 1|沪教版/七年级上/Unit 8
come as no surprise,comeasnosurprise,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,译林版/八年级上/Unit 3
comedy,comedy,/ˈkɑːmədi/,/ˈkɑːmədi/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,3,沪外教版/九年级下/Unit 5|冀教版/九年级全一册/Unit 6|科普版/九年级下/Unit 6
come from,comefrom,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,沪教版/七年级下/Unit 3|沪教版/七年级下/Unit 8
come in(,comein,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/七年级上/Unit 4
come off(,comeoff,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/八年级下/Unit 5
come one's way,comeonesway,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,沪外教版/七年级下/Unit 1
come out,comeout,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/七年级下/Unit 8
come over,comeover,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,人教版/八年级上/Unit 7
come round,comeround,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,外研版/九年级上/Module 6
comet,comet,/ˈkɑːmət/,/ˈkɑːmət/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,1,科普版/八年级上/Unit 6
come to an end,cometoanend,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,1,科普版/九年级下/Unit 5
come to life,cometolife,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,2,沪教版/八年级下/Unit 3|沪教版/八年级下/Unit 8
come true,cometrue,,,current-wordbook-candidate,missing,low,未找到可展示 IPA，前端将显示待校验,3,沪教版/七年级下/Unit 8|沪教版/七年级下/Unit 8|译林版/七年级上/Unit 2
come up with,comeupwith,/komtk/,/komtk/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,4,北师大版/九年级全一册/Lesson 9|北师大版/九年级全一册/Unit 9|沪外教版/八年级上/Unit 2|译林版/九年级上/Unit 1
comfort,comfort,/ˈkʌmfət/,/ˈkʌmfərt/,current-wordbook-candidate,needs_review,medium,当前为导入/修复候选音标，未做教研审核,2,北师大版/八年级上/Lesson 3|沪外教版/八年级上/Unit 7
