word,normalized_word,chunks,phonics,rule_tags,status,confidence,review_note
date from,datefrom,d|a|t|e|f|r|o|m,/d/|待复核|/t/|待复核|/f/|/r/|待复核|/m/,letter:d|letter:a|letter:t|letter:e|letter:f|letter:r|letter:o|letter:m,needs_review,low,含多音字母或多音字母组合，需教研确认
daughter,daughter,d|augh|t|er,/d/|待复核|/t/|/ə/,letter:d|grapheme:augh|letter:t|grapheme:er,needs_review,low,含多音字母或多音字母组合，需教研确认
Dave,dave,d|a|v|e,/d/|待复核|/v/|silent,letter:d|letter:a|letter:v|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
David,david,d|a|v|i|d,/d/|待复核|/v/|待复核|/d/,letter:d|letter:a|letter:v|letter:i|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
da Vinci,davinci,d|a|v|i|n|c|i,/d/|待复核|/v/|待复核|/n/|待复核|待复核,letter:d|letter:a|letter:v|letter:i|letter:n|letter:c|letter:i,needs_review,low,含多音字母或多音字母组合，需教研确认
Davis,davis,d|a|v|i|s,/d/|待复核|/v/|待复核|待复核,letter:d|letter:a|letter:v|letter:i|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
day and night,dayandnight,d|ay|a|n|d|n|igh|t,/d/|/eɪ/|待复核|/n/|/d/|/n/|/aɪ/|/t/,letter:d|grapheme:ay|letter:a|letter:n|letter:d|letter:n|grapheme:igh|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
day by day,daybyday,d|ay|b|y|d|ay,/d/|/eɪ/|/b/|待复核|/d/|/eɪ/,letter:d|grapheme:ay|letter:b|letter:y|letter:d|grapheme:ay,needs_review,low,含多音字母或多音字母组合，需教研确认
daytime,daytime,d|ay|t|i|m|e,/d/|/eɪ/|/t/|待复核|/m/|silent,letter:d|grapheme:ay|letter:t|letter:i|letter:m|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
dazed,dazed,d|a|z|e|d,/d/|待复核|/z/|待复核|/d/,letter:d|letter:a|letter:z|letter:e|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
dead,dead,d|ea|d,/d/|待复核|/d/,letter:d|grapheme:ea|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
deadly,deadly,d|ea|d|l|y,/d/|待复核|/d/|/l/|待复核,letter:d|grapheme:ea|letter:d|letter:l|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
Dead Sea,deadsea,d|ea|d|s|ea,/d/|待复核|/d/|待复核|待复核,letter:d|grapheme:ea|letter:d|letter:s|grapheme:ea,needs_review,low,含多音字母或多音字母组合，需教研确认
deaf,deaf,d|ea|f,/d/|待复核|/f/,letter:d|grapheme:ea|letter:f,needs_review,low,含多音字母或多音字母组合，需教研确认
deal,deal,d|ea|l,/d/|待复核|/l/,letter:d|grapheme:ea|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
deal with,dealwith,d|ea|l|w|i|th,/d/|待复核|/l/|/w/|待复核|待复核,letter:d|grapheme:ea|letter:l|letter:w|letter:i|grapheme:th,needs_review,low,含多音字母或多音字母组合，需教研确认
death,death,d|ea|th,/d/|待复核|待复核,letter:d|grapheme:ea|grapheme:th,needs_review,low,含多音字母或多音字母组合，需教研确认
debate,debate,d|e|b|a|t|e,/d/|待复核|/b/|待复核|/t/|silent,letter:d|letter:e|letter:b|letter:a|letter:t|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
debit card,debitcard,d|e|b|i|t|c|ar|d,/d/|待复核|/b/|待复核|/t/|待复核|/ɑː/|/d/,letter:d|letter:e|letter:b|letter:i|letter:t|letter:c|grapheme:ar|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
decide,decide,d|e|c|i|d|e,/d/|待复核|待复核|待复核|/d/|silent,letter:d|letter:e|letter:c|letter:i|letter:d|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
decide to do,decidetodo,d|e|c|i|d|e|t|o|d|o,/d/|待复核|待复核|待复核|/d/|待复核|/t/|待复核|/d/|待复核,letter:d|letter:e|letter:c|letter:i|letter:d|letter:e|letter:t|letter:o|letter:d|letter:o,needs_review,low,含多音字母或多音字母组合，需教研确认
decimal,decimal,d|e|c|i|m|a|l,/d/|待复核|待复核|待复核|/m/|待复核|/l/,letter:d|letter:e|letter:c|letter:i|letter:m|letter:a|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
decision,decision,d|e|c|i|s|i|o|n,/d/|待复核|待复核|待复核|待复核|待复核|待复核|/n/,letter:d|letter:e|letter:c|letter:i|letter:s|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
declaration,declaration,d|e|c|l|ar|a|t|i|o|n,/d/|待复核|待复核|/l/|/ɑː/|待复核|/t/|待复核|待复核|/n/,letter:d|letter:e|letter:c|letter:l|grapheme:ar|letter:a|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
decorate,decorate,d|e|c|or|a|t|e,/d/|待复核|待复核|/ɔː/|待复核|/t/|silent,letter:d|letter:e|letter:c|grapheme:or|letter:a|letter:t|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
decoration,decoration,d|e|c|or|a|t|i|o|n,/d/|待复核|待复核|/ɔː/|待复核|/t/|待复核|待复核|/n/,letter:d|letter:e|letter:c|grapheme:or|letter:a|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
deep,deep,d|ee|p,/d/|/iː/|/p/,letter:d|grapheme:ee|letter:p,candidate,medium,规则候选，需抽检后改为 reviewed
deer,deer,d|eer,/d/|/ɪə/,letter:d|grapheme:eer,candidate,medium,规则候选，需抽检后改为 reviewed
defeat,defeat,d|e|f|ea|t,/d/|待复核|/f/|待复核|/t/,letter:d|letter:e|letter:f|grapheme:ea|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
defend,defend,d|e|f|e|n|d,/d/|待复核|/f/|待复核|/n/|/d/,letter:d|letter:e|letter:f|letter:e|letter:n|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
definite article,definitearticle,d|e|f|i|n|i|t|ear|t|i|c|l|e,/d/|待复核|/f/|待复核|/n/|待复核|/t/|待复核|/t/|待复核|待复核|/l/|silent,letter:d|letter:e|letter:f|letter:i|letter:n|letter:i|letter:t|grapheme:ear|letter:t|letter:i|letter:c|letter:l|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
definitely,definitely,d|e|f|i|n|i|t|e|l|y,/d/|待复核|/f/|待复核|/n/|待复核|/t/|待复核|/l/|待复核,letter:d|letter:e|letter:f|letter:i|letter:n|letter:i|letter:t|letter:e|letter:l|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
definition,definition,d|e|f|i|n|i|t|i|o|n,/d/|待复核|/f/|待复核|/n/|待复核|/t/|待复核|待复核|/n/,letter:d|letter:e|letter:f|letter:i|letter:n|letter:i|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
degree,degree,d|e|g|r|ee,/d/|待复核|待复核|/r/|/iː/,letter:d|letter:e|letter:g|letter:r|grapheme:ee,needs_review,low,含多音字母或多音字母组合，需教研确认
deja vu,dejavu,d|e|j|a|v|u,/d/|待复核|/dʒ/|待复核|/v/|待复核,letter:d|letter:e|letter:j|letter:a|letter:v|letter:u,needs_review,low,含多音字母或多音字母组合，需教研确认
delicacy,delicacy,d|e|l|i|c|a|c|y,/d/|待复核|/l/|待复核|待复核|待复核|待复核|待复核,letter:d|letter:e|letter:l|letter:i|letter:c|letter:a|letter:c|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
delicious,delicious,d|e|l|i|c|i|ou|s,/d/|待复核|/l/|待复核|待复核|待复核|待复核|待复核,letter:d|letter:e|letter:l|letter:i|letter:c|letter:i|grapheme:ou|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
deliver,deliver,d|e|l|i|v|er,/d/|待复核|/l/|待复核|/v/|/ə/,letter:d|letter:e|letter:l|letter:i|letter:v|grapheme:er,needs_review,low,含多音字母或多音字母组合，需教研确认
delivery,delivery,d|e|l|i|v|er|y,/d/|待复核|/l/|待复核|/v/|/ə/|待复核,letter:d|letter:e|letter:l|letter:i|letter:v|grapheme:er|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
Denmark,denmark,d|e|n|m|ar|k,/d/|待复核|/n/|/m/|/ɑː/|/k/,letter:d|letter:e|letter:n|letter:m|grapheme:ar|letter:k,needs_review,low,含多音字母或多音字母组合，需教研确认
dense,dense,d|e|n|s|e,/d/|待复核|/n/|待复核|silent,letter:d|letter:e|letter:n|letter:s|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
dentist,dentist,d|e|n|t|i|s|t,/d/|待复核|/n/|/t/|待复核|待复核|/t/,letter:d|letter:e|letter:n|letter:t|letter:i|letter:s|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
department,department,d|e|p|ar|t|m|e|n|t,/d/|待复核|/p/|/ɑː/|/t/|/m/|待复核|/n/|/t/,letter:d|letter:e|letter:p|grapheme:ar|letter:t|letter:m|letter:e|letter:n|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
department store,departmentstore,d|e|p|ar|t|m|e|n|t|s|t|or|e,/d/|待复核|/p/|/ɑː/|/t/|/m/|待复核|/n/|/t/|待复核|/t/|/ɔː/|silent,letter:d|letter:e|letter:p|grapheme:ar|letter:t|letter:m|letter:e|letter:n|letter:t|letter:s|letter:t|grapheme:or|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
depend,depend,d|e|p|e|n|d,/d/|待复核|/p/|待复核|/n/|/d/,letter:d|letter:e|letter:p|letter:e|letter:n|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
depend on,dependon,d|e|p|e|n|d|o|n,/d/|待复核|/p/|待复核|/n/|/d/|待复核|/n/,letter:d|letter:e|letter:p|letter:e|letter:n|letter:d|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
deposit,deposit,d|e|p|o|s|i|t,/d/|待复核|/p/|待复核|待复核|待复核|/t/,letter:d|letter:e|letter:p|letter:o|letter:s|letter:i|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
depressed,depressed,d|e|p|r|e|s|s|e|d,/d/|待复核|/p/|/r/|待复核|待复核|待复核|待复核|/d/,letter:d|letter:e|letter:p|letter:r|letter:e|letter:s|letter:s|letter:e|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
depth,depth,d|e|p|th,/d/|待复核|/p/|待复核,letter:d|letter:e|letter:p|grapheme:th,needs_review,low,含多音字母或多音字母组合，需教研确认
derive,derive,d|er|i|v|e,/d/|/ə/|待复核|/v/|silent,letter:d|grapheme:er|letter:i|letter:v|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
describe,describe,d|e|s|c|r|i|b|e,/d/|待复核|待复核|待复核|/r/|待复核|/b/|silent,letter:d|letter:e|letter:s|letter:c|letter:r|letter:i|letter:b|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
description,description,d|e|s|c|r|i|p|t|i|o|n,/d/|待复核|待复核|待复核|/r/|待复核|/p/|/t/|待复核|待复核|/n/,letter:d|letter:e|letter:s|letter:c|letter:r|letter:i|letter:p|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
desert,desert,d|e|s|er|t,/d/|待复核|待复核|/ə/|/t/,letter:d|letter:e|letter:s|grapheme:er|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
design,design,d|e|s|i|gn,/d/|待复核|待复核|待复核|/n/,letter:d|letter:e|letter:s|letter:i|grapheme:gn,needs_review,low,含多音字母或多音字母组合，需教研确认
designer,designer,d|e|s|i|gn|er,/d/|待复核|待复核|待复核|/n/|/ə/,letter:d|letter:e|letter:s|letter:i|grapheme:gn|grapheme:er,needs_review,low,含多音字母或多音字母组合，需教研确认
desire,desire,d|e|s|ir|e,/d/|待复核|待复核|/ɜː/|silent,letter:d|letter:e|letter:s|grapheme:ir|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
desktop,desktop,d|e|s|k|t|o|p,/d/|待复核|待复核|/k/|/t/|待复核|/p/,letter:d|letter:e|letter:s|letter:k|letter:t|letter:o|letter:p,needs_review,low,含多音字母或多音字母组合，需教研确认
despite,despite,d|e|s|p|i|t|e,/d/|待复核|待复核|/p/|待复核|/t/|silent,letter:d|letter:e|letter:s|letter:p|letter:i|letter:t|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
dessert,dessert,d|e|s|s|er|t,/d/|待复核|待复核|待复核|/ə/|/t/,letter:d|letter:e|letter:s|letter:s|grapheme:er|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
destination,destination,d|e|s|t|i|n|a|t|i|o|n,/d/|待复核|待复核|/t/|待复核|/n/|待复核|/t/|待复核|待复核|/n/,letter:d|letter:e|letter:s|letter:t|letter:i|letter:n|letter:a|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
destroy,destroy,d|e|s|t|r|oy,/d/|待复核|待复核|/t/|/r/|/ɔɪ/,letter:d|letter:e|letter:s|letter:t|letter:r|grapheme:oy,needs_review,low,含多音字母或多音字母组合，需教研确认
destruction,destruction,d|e|s|t|r|u|c|t|i|o|n,/d/|待复核|待复核|/t/|/r/|待复核|待复核|/t/|待复核|待复核|/n/,letter:d|letter:e|letter:s|letter:t|letter:r|letter:u|letter:c|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
det.,det,d|e|t,/d/|待复核|/t/,letter:d|letter:e|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
detail,detail,d|e|t|ai|l,/d/|待复核|/t/|/eɪ/|/l/,letter:d|letter:e|letter:t|grapheme:ai|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
detailed,detailed,d|e|t|ai|l|e|d,/d/|待复核|/t/|/eɪ/|/l/|待复核|/d/,letter:d|letter:e|letter:t|grapheme:ai|letter:l|letter:e|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
detect,detect,d|e|t|e|c|t,/d/|待复核|/t/|待复核|待复核|/t/,letter:d|letter:e|letter:t|letter:e|letter:c|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
detective,detective,d|e|t|e|c|t|i|v|e,/d/|待复核|/t/|待复核|待复核|/t/|待复核|/v/|silent,letter:d|letter:e|letter:t|letter:e|letter:c|letter:t|letter:i|letter:v|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
determination,determination,d|e|t|er|m|i|n|a|t|i|o|n,/d/|待复核|/t/|/ə/|/m/|待复核|/n/|待复核|/t/|待复核|待复核|/n/,letter:d|letter:e|letter:t|grapheme:er|letter:m|letter:i|letter:n|letter:a|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
determined,determined,d|e|t|er|m|i|n|e|d,/d/|待复核|/t/|/ə/|/m/|待复核|/n/|待复核|/d/,letter:d|letter:e|letter:t|grapheme:er|letter:m|letter:i|letter:n|letter:e|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
det. & pron.(,detpron,d|e|t|p|r|o|n,/d/|待复核|/t/|/p/|/r/|待复核|/n/,letter:d|letter:e|letter:t|letter:p|letter:r|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
develop,develop,d|e|v|e|l|o|p,/d/|待复核|/v/|待复核|/l/|待复核|/p/,letter:d|letter:e|letter:v|letter:e|letter:l|letter:o|letter:p,needs_review,low,含多音字母或多音字母组合，需教研确认
developer,developer,d|e|v|e|l|o|p|er,/d/|待复核|/v/|待复核|/l/|待复核|/p/|/ə/,letter:d|letter:e|letter:v|letter:e|letter:l|letter:o|letter:p|grapheme:er,needs_review,low,含多音字母或多音字母组合，需教研确认
development,development,d|e|v|e|l|o|p|m|e|n|t,/d/|待复核|/v/|待复核|/l/|待复核|/p/|/m/|待复核|/n/|/t/,letter:d|letter:e|letter:v|letter:e|letter:l|letter:o|letter:p|letter:m|letter:e|letter:n|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
device,device,d|e|v|i|c|e,/d/|待复核|/v/|待复核|待复核|silent,letter:d|letter:e|letter:v|letter:i|letter:c|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
devote oneself to,devoteoneselfto,d|e|v|o|t|e|o|n|e|s|e|l|f|t|o,/d/|待复核|/v/|待复核|/t/|待复核|待复核|/n/|待复核|待复核|待复核|/l/|/f/|/t/|待复核,letter:d|letter:e|letter:v|letter:o|letter:t|letter:e|letter:o|letter:n|letter:e|letter:s|letter:e|letter:l|letter:f|letter:t|letter:o,needs_review,low,含多音字母或多音字母组合，需教研确认
devotion,devotion,d|e|v|o|t|i|o|n,/d/|待复核|/v/|待复核|/t/|待复核|待复核|/n/,letter:d|letter:e|letter:v|letter:o|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
Di,di,d|i,/d/|待复核,letter:d|letter:i,needs_review,low,含多音字母或多音字母组合，需教研确认
dialog,dialog,d|i|a|l|o|g,/d/|待复核|待复核|/l/|待复核|待复核,letter:d|letter:i|letter:a|letter:l|letter:o|letter:g,needs_review,low,含多音字母或多音字母组合，需教研确认
dialogue,dialogue,d|i|a|l|o|g|u|e,/d/|待复核|待复核|/l/|待复核|待复核|待复核|silent,letter:d|letter:i|letter:a|letter:l|letter:o|letter:g|letter:u|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
diameter,diameter,d|i|a|m|e|t|er,/d/|待复核|待复核|/m/|待复核|/t/|/ə/,letter:d|letter:i|letter:a|letter:m|letter:e|letter:t|grapheme:er,needs_review,low,含多音字母或多音字母组合，需教研确认
Diana,diana,d|i|a|n|a,/d/|待复核|待复核|/n/|待复核,letter:d|letter:i|letter:a|letter:n|letter:a,needs_review,low,含多音字母或多音字母组合，需教研确认
Diann,diann,d|i|a|n|n,/d/|待复核|待复核|/n/|/n/,letter:d|letter:i|letter:a|letter:n|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
diary,diary,d|i|ar|y,/d/|待复核|/ɑː/|待复核,letter:d|letter:i|grapheme:ar|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
Dickon,dickon,d|i|ck|o|n,/d/|待复核|/k/|待复核|/n/,letter:d|letter:i|grapheme:ck|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
dictator,dictator,d|i|c|t|a|t|or,/d/|待复核|待复核|/t/|待复核|/t/|/ɔː/,letter:d|letter:i|letter:c|letter:t|letter:a|letter:t|grapheme:or,needs_review,low,含多音字母或多音字母组合，需教研确认
dictionary,dictionary,d|i|c|t|i|o|n|ar|y,/d/|待复核|待复核|/t/|待复核|待复核|/n/|/ɑː/|待复核,letter:d|letter:i|letter:c|letter:t|letter:i|letter:o|letter:n|grapheme:ar|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
die,die,d|i|e,/d/|待复核|silent,letter:d|letter:i|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
die for ……,diefor,d|i|e|f|or,/d/|待复核|待复核|/f/|/ɔː/,letter:d|letter:i|letter:e|letter:f|grapheme:or,needs_review,low,含多音字母或多音字母组合，需教研确认
die of,dieof,d|i|e|o|f,/d/|待复核|待复核|待复核|/f/,letter:d|letter:i|letter:e|letter:o|letter:f,needs_review,low,含多音字母或多音字母组合，需教研确认
die out,dieout,d|i|e|ou|t,/d/|待复核|待复核|待复核|/t/,letter:d|letter:i|letter:e|grapheme:ou|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
diet,diet,d|i|e|t,/d/|待复核|待复核|/t/,letter:d|letter:i|letter:e|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
difference,difference,d|i|f|f|er|e|n|c|e,/d/|待复核|/f/|/f/|/ə/|待复核|/n/|待复核|silent,letter:d|letter:i|letter:f|letter:f|grapheme:er|letter:e|letter:n|letter:c|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
different,different,d|i|f|f|er|e|n|t,/d/|待复核|/f/|/f/|/ə/|待复核|/n/|/t/,letter:d|letter:i|letter:f|letter:f|grapheme:er|letter:e|letter:n|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
different cultures.,differentcultures,d|i|f|f|er|e|n|t|c|u|l|t|ur|e|s,/d/|待复核|/f/|/f/|/ə/|待复核|/n/|/t/|待复核|待复核|/l/|/t/|/ɜː/|待复核|待复核,letter:d|letter:i|letter:f|letter:f|grapheme:er|letter:e|letter:n|letter:t|letter:c|letter:u|letter:l|letter:t|grapheme:ur|letter:e|letter:s,needs_review,low,含多音字母或多音字母组合，需教研确认
different from,differentfrom,d|i|f|f|er|e|n|t|f|r|o|m,/d/|待复核|/f/|/f/|/ə/|待复核|/n/|/t/|/f/|/r/|待复核|/m/,letter:d|letter:i|letter:f|letter:f|grapheme:er|letter:e|letter:n|letter:t|letter:f|letter:r|letter:o|letter:m,needs_review,low,含多音字母或多音字母组合，需教研确认
differently,differently,d|i|f|f|er|e|n|t|l|y,/d/|待复核|/f/|/f/|/ə/|待复核|/n/|/t/|/l/|待复核,letter:d|letter:i|letter:f|letter:f|grapheme:er|letter:e|letter:n|letter:t|letter:l|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
different meanings in,differentmeaningsin,d|i|f|f|er|e|n|t|m|ea|n|i|ng|s|i|n,/d/|待复核|/f/|/f/|/ə/|待复核|/n/|/t/|/m/|待复核|/n/|待复核|/ŋ/|待复核|待复核|/n/,letter:d|letter:i|letter:f|letter:f|grapheme:er|letter:e|letter:n|letter:t|letter:m|grapheme:ea|letter:n|letter:i|grapheme:ng|letter:s|letter:i|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
difficulty,difficulty,d|i|f|f|i|c|u|l|t|y,/d/|待复核|/f/|/f/|待复核|待复核|待复核|/l/|/t/|待复核,letter:d|letter:i|letter:f|letter:f|letter:i|letter:c|letter:u|letter:l|letter:t|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
dig,dig,d|i|g,/d/|待复核|待复核,letter:d|letter:i|letter:g,needs_review,low,含多音字母或多音字母组合，需教研确认
digital,digital,d|i|g|i|t|a|l,/d/|待复核|待复核|待复核|/t/|待复核|/l/,letter:d|letter:i|letter:g|letter:i|letter:t|letter:a|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
dig out,digout,d|i|g|ou|t,/d/|待复核|待复核|待复核|/t/,letter:d|letter:i|letter:g|grapheme:ou|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
dike,dike,d|i|k|e,/d/|待复核|/k/|silent,letter:d|letter:i|letter:k|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
dimension,dimension,d|i|m|e|n|s|i|o|n,/d/|待复核|/m/|待复核|/n/|待复核|待复核|待复核|/n/,letter:d|letter:i|letter:m|letter:e|letter:n|letter:s|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
dining,dining,d|i|n|i|ng,/d/|待复核|/n/|待复核|/ŋ/,letter:d|letter:i|letter:n|letter:i|grapheme:ng,needs_review,low,含多音字母或多音字母组合，需教研确认
dining hall,dininghall,d|i|n|i|ng|h|a|l|l,/d/|待复核|/n/|待复核|/ŋ/|/h/|待复核|/l/|/l/,letter:d|letter:i|letter:n|letter:i|grapheme:ng|letter:h|letter:a|letter:l|letter:l,needs_review,low,含多音字母或多音字母组合，需教研确认
dinosaur,dinosaur,d|i|n|o|s|a|ur,/d/|待复核|/n/|待复核|待复核|待复核|/ɜː/,letter:d|letter:i|letter:n|letter:o|letter:s|letter:a|grapheme:ur,needs_review,low,含多音字母或多音字母组合，需教研确认
dioxide,dioxide,d|i|o|x|i|d|e,/d/|待复核|待复核|/ks/|待复核|/d/|silent,letter:d|letter:i|letter:o|letter:x|letter:i|letter:d|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
dip,dip,d|i|p,/d/|待复核|/p/,letter:d|letter:i|letter:p,needs_review,low,含多音字母或多音字母组合，需教研确认
diploma,diploma,d|i|p|l|o|m|a,/d/|待复核|/p/|/l/|待复核|/m/|待复核,letter:d|letter:i|letter:p|letter:l|letter:o|letter:m|letter:a,needs_review,low,含多音字母或多音字母组合，需教研确认
direct,direct,d|ir|e|c|t,/d/|/ɜː/|待复核|待复核|/t/,letter:d|grapheme:ir|letter:e|letter:c|letter:t,needs_review,low,含多音字母或多音字母组合，需教研确认
direction,direction,d|ir|e|c|t|i|o|n,/d/|/ɜː/|待复核|待复核|/t/|待复核|待复核|/n/,letter:d|grapheme:ir|letter:e|letter:c|letter:t|letter:i|letter:o|letter:n,needs_review,low,含多音字母或多音字母组合，需教研确认
directly,directly,d|ir|e|c|t|l|y,/d/|/ɜː/|待复核|待复核|/t/|/l/|待复核,letter:d|grapheme:ir|letter:e|letter:c|letter:t|letter:l|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
director,director,d|ir|e|c|t|or,/d/|/ɜː/|待复核|待复核|/t/|/ɔː/,letter:d|grapheme:ir|letter:e|letter:c|letter:t|grapheme:or,needs_review,low,含多音字母或多音字母组合，需教研确认
disability,disability,d|i|s|a|b|i|l|i|t|y,/d/|待复核|待复核|待复核|/b/|待复核|/l/|待复核|/t/|待复核,letter:d|letter:i|letter:s|letter:a|letter:b|letter:i|letter:l|letter:i|letter:t|letter:y,needs_review,low,含多音字母或多音字母组合，需教研确认
disability (drsa'brlati,disabilitydrsabrlati,d|i|s|a|b|i|l|i|t|y|d|r|s|a|b|r|l|a|t|i,/d/|待复核|待复核|待复核|/b/|待复核|/l/|待复核|/t/|待复核|/d/|/r/|待复核|待复核|/b/|/r/|/l/|待复核|/t/|待复核,letter:d|letter:i|letter:s|letter:a|letter:b|letter:i|letter:l|letter:i|letter:t|letter:y|letter:d|letter:r|letter:s|letter:a|letter:b|letter:r|letter:l|letter:a|letter:t|letter:i,needs_review,low,含多音字母或多音字母组合，需教研确认
disabled,disabled,d|i|s|a|b|l|e|d,/d/|待复核|待复核|待复核|/b/|/l/|待复核|/d/,letter:d|letter:i|letter:s|letter:a|letter:b|letter:l|letter:e|letter:d,needs_review,low,含多音字母或多音字母组合，需教研确认
disabled people,disabledpeople,d|i|s|a|b|l|e|d|p|e|o|p|l|e,/d/|待复核|待复核|待复核|/b/|/l/|待复核|/d/|/p/|待复核|待复核|/p/|/l/|silent,letter:d|letter:i|letter:s|letter:a|letter:b|letter:l|letter:e|letter:d|letter:p|letter:e|letter:o|letter:p|letter:l|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
disadvantage,disadvantage,d|i|s|a|d|v|a|n|t|a|g|e,/d/|待复核|待复核|待复核|/d/|/v/|待复核|/n/|/t/|待复核|待复核|silent,letter:d|letter:i|letter:s|letter:a|letter:d|letter:v|letter:a|letter:n|letter:t|letter:a|letter:g|silent-e,needs_review,low,含多音字母或多音字母组合，需教研确认
disagree,disagree,d|i|s|a|g|r|ee,/d/|待复核|待复核|待复核|待复核|/r/|/iː/,letter:d|letter:i|letter:s|letter:a|letter:g|letter:r|grapheme:ee,needs_review,low,含多音字母或多音字母组合，需教研确认
disagree (dnse gri:/ vi.,disagreednsegrivi,d|i|s|a|g|r|ee|d|n|s|e|g|r|i|v|i,/d/|待复核|待复核|待复核|待复核|/r/|/iː/|/d/|/n/|待复核|待复核|待复核|/r/|待复核|/v/|待复核,letter:d|letter:i|letter:s|letter:a|letter:g|letter:r|grapheme:ee|letter:d|letter:n|letter:s|letter:e|letter:g|letter:r|letter:i|letter:v|letter:i,needs_review,low,含多音字母或多音字母组合，需教研确认
